iter	Passed	Remaining
0	0	58
1	1	55
2	1	53
3	2	50
4	2	49
5	3	48
6	3	47
7	4	46
8	4	45
9	5	45
10	5	44
11	5	43
12	6	43
13	6	42
14	7	42
15	7	41
16	8	40
17	8	40
18	9	39
19	9	38
20	10	38
21	10	38
22	11	38
23	11	37
24	12	36
25	12	36
26	13	35
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	33
33	16	32
34	17	32
35	18	32
36	18	32
37	19	31
38	19	31
39	20	31
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	48	2
96	48	1
97	48	0
98	49	0
99	50	0
